Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HomeTeam_Wins,HomeTeam_Draws,HomeTeam_Losses,HomeTeam_AvgGoalsScored,HomeTeam_AvgGoalsConceded,HomeTeam_AvgShots,HomeTeam_AvgShotsConceded,HomeTeam_AvgCorners,HomeTeam_AvgCornersConceded,HomeTeam_AvgFouls,HomeTeam_PrevSeasonRank,AwayTeam_Wins,AwayTeam_Draws,AwayTeam_Losses,AwayTeam_AvgGoalsScored,AwayTeam_AvgGoalsConceded,AwayTeam_AvgShots,AwayTeam_AvgShotsConceded,AwayTeam_AvgCorners,AwayTeam_AvgCornersConceded,AwayTeam_AvgFouls,AwayTeam_PrevSeasonRank
16/09/2000,Leeds,Ipswich,1,2,A,1,1,D,Mark Halsey,11,12,6,7,6,3,12,19,1,3,0,0,2,1,1,1.25,0.75,12.5,12.5,7.25,4.5,18.25,0,1,1,3,1.0,1.6,12.8,12.2,4.4,4.8,11.0,0
16/09/2000,Southampton,Newcastle,2,0,H,0,0,D,Barry Knight,13,10,9,7,4,8,14,14,0,0,0,0,0,3,2,1.4,1.8,11.8,11.8,8.2,6.2,12.6,0,3,1,1,1.4,0.8,11.2,12.4,5.4,5.4,16.8,0
16/09/2000,Sunderland,Derby,2,1,H,1,0,H,Paul Taylor,15,10,8,5,4,5,16,28,2,3,0,0,1,1,3,0.8,1.8,9.6,9.6,3.8,7.6,13.8,0,0,4,1,2.2,2.4,8.8,9.8,5.6,8.8,11.2,0
17/09/2000,Chelsea,Leicester,0,2,A,0,1,A,Graham Barber,16,7,10,5,15,3,16,17,3,1,0,0,1,3,1,1.4,1.4,12.8,12.8,6.8,6.2,16.8,0,3,2,0,0.8,0.2,10.2,9.2,6.8,5.8,11.2,0
17/09/2000,Man City,Middlesbrough,1,1,D,0,0,D,Steve Lodge,11,4,4,2,9,3,15,11,2,5,0,0,2,0,3,1.8,2.4,10.8,10.8,5.2,6.4,16.8,0,1,2,2,1.8,1.8,11.4,10.8,5.0,7.8,13.6,0
17/09/2000,West Ham,Liverpool,1,1,D,0,1,A,David Ellaray,15,7,4,2,9,0,5,13,0,2,0,0,0,2,3,1.0,1.8,14.6,14.6,7.8,6.4,13.8,0,3,1,1,2.0,1.6,11.4,10.4,7.0,5.8,12.8,0
23/09/2000,Bradford,Southampton,0,1,A,0,1,A,Steve Dunn,14,6,6,4,7,5,14,18,3,1,0,0,1,2,3,0.5,1.67,7.67,7.67,4.0,6.33,12.0,0,1,3,2,1.5,1.5,12.0,9.5,7.5,6.5,12.83,0
23/09/2000,Coventry,West Ham,0,3,A,0,2,A,Neale Barry,9,12,2,10,5,6,12,11,0,1,0,0,2,1,3,1.0,1.5,8.33,8.33,5.67,6.17,14.33,0,0,3,3,1.0,1.67,14.67,11.33,8.0,5.33,12.33,0
23/09/2000,Derby,Leeds,1,1,D,0,1,A,Barry Knight,13,16,7,6,7,4,17,15,2,2,1,0,0,4,2,2.0,2.33,9.0,9.0,5.5,8.0,14.0,0,2,1,2,1.2,1.0,12.2,11.2,7.0,4.2,17.0,0
23/09/2000,Ipswich,Arsenal,1,1,D,0,0,D,Paul Durkin,17,10,6,4,4,7,8,13,1,2,0,0,2,1,3,1.17,1.5,12.67,12.67,4.17,5.0,12.33,0,3,2,1,2.0,1.33,16.33,8.17,8.5,5.17,16.33,0
23/09/2000,Liverpool,Sunderland,1,1,D,1,1,D,Mike Riley,11,8,6,3,12,3,14,18,2,2,0,0,3,2,1,1.83,1.5,10.67,10.67,5.83,6.33,12.83,0,2,1,3,1.0,1.67,10.5,14.0,3.83,7.17,14.17,0
23/09/2000,Man United,Chelsea,3,3,D,3,2,H,Peter Jones,11,13,5,5,8,4,15,19,3,2,0,0,4,2,0,2.83,0.67,15.83,15.83,5.33,3.83,10.67,0,1,3,2,1.17,1.5,13.33,11.0,8.17,5.67,16.67,0
23/09/2000,Middlesbrough,Aston Villa,1,1,D,0,0,D,Mark Halsey,12,15,5,7,5,5,7,14,3,0,0,0,1,3,2,1.67,1.67,10.17,10.17,4.67,8.0,13.17,0,2,2,1,1.2,1.0,8.6,10.0,5.2,6.8,10.6,0
23/09/2000,Newcastle,Charlton,0,1,A,0,1,A,Andy D'Urso,12,4,5,2,4,7,14,10,1,2,0,0,3,1,2,1.17,1.0,11.0,11.0,5.83,5.17,16.33,0,2,2,2,1.83,1.83,9.83,12.0,7.0,6.67,12.83,0
23/09/2000,Tottenham,Man City,0,0,D,0,0,D,Steve Bennett,18,7,5,2,5,4,10,14,0,2,0,0,3,1,2,1.33,1.17,12.83,12.83,5.5,4.67,12.83,0,2,1,3,1.67,2.17,10.83,9.83,5.83,5.83,16.5,0
24/09/2000,Leicester,Everton,1,1,D,1,0,H,Alan Wiley,10,9,4,3,9,3,14,13,3,1,0,0,4,2,0,1.0,0.17,9.67,9.67,6.17,7.33,12.17,0,2,1,3,1.67,1.83,11.0,11.5,6.0,5.33,12.17,0
30/09/2000,Aston Villa,Derby,4,1,H,2,0,H,David Ellaray,12,11,7,6,6,6,0,1,1,1,0,0,2,3,1,1.17,1.0,9.67,9.67,5.17,6.5,11.17,0,0,5,2,1.86,2.14,9.57,11.43,5.71,7.43,14.43,0
30/09/2000,Charlton,Coventry,2,2,D,0,1,A,Rob Styles,12,10,8,6,6,6,8,16,1,2,0,0,3,2,2,1.71,1.57,9.0,9.0,7.0,6.29,12.43,0,2,1,4,0.86,1.71,8.43,13.71,5.57,6.14,14.0,0
30/09/2000,Everton,Ipswich,0,3,A,0,1,A,Jeff Winter,7,9,3,7,4,1,6,5,1,0,0,0,2,2,3,1.57,1.71,10.71,10.71,5.57,5.86,12.29,0,2,2,3,1.14,1.43,13.29,11.71,4.14,5.29,11.71,0
30/09/2000,Leeds,Tottenham,4,3,H,0,1,A,Neale Barry,14,10,7,5,6,4,11,20,0,2,0,0,2,2,2,1.17,1.0,12.83,12.83,6.5,4.67,16.67,0,3,2,2,1.14,1.0,13.57,11.43,5.43,4.57,12.43,0
30/09/2000,Man City,Newcastle,0,1,A,0,0,D,Paul Taylor,9,15,7,9,10,8,16,12,0,1,0,0,2,2,3,1.43,1.86,10.29,10.29,5.57,5.71,16.14,0,3,1,3,1.0,1.0,11.14,11.29,5.57,5.43,16.0,0
30/09/2000,Southampton,Middlesbrough,1,3,A,0,2,A,Graham Poll,16,7,8,5,6,6,6,22,2,2,0,0,2,3,2,1.43,1.29,11.14,11.14,7.14,6.57,13.57,0,1,4,2,1.57,1.57,10.43,11.43,4.71,7.57,12.29,0
30/09/2000,West Ham,Bradford,1,1,D,1,0,H,Mike Dean,14,9,6,6,7,2,14,10,3,2,0,0,1,3,3,1.29,1.43,14.29,14.29,7.71,5.29,12.14,0,1,2,4,0.43,1.57,8.57,14.29,4.43,6.14,12.29,0
01/10/2000,Arsenal,Man United,1,0,H,1,0,H,Graham Barber,7,13,5,4,3,11,18,17,2,3,0,0,3,3,1,1.86,1.29,15.43,15.43,8.29,5.0,15.86,0,4,3,0,2.86,1.0,15.14,9.86,5.71,3.86,11.29,0
01/10/2000,Chelsea,Liverpool,3,0,H,2,0,H,Dermot Gallagher,11,10,5,2,3,1,14,14,1,1,0,0,1,4,2,1.43,1.71,13.29,13.29,7.57,6.0,17.0,0,3,3,1,1.71,1.43,10.71,10.71,6.71,5.86,13.0,0
01/10/2000,Sunderland,Leicester,0,0,D,0,0,D,Steve Lodge,11,8,5,2,6,2,12,8,3,1,0,0,2,2,3,1.0,1.57,10.14,10.14,3.71,7.86,14.71,0,4,3,0,1.0,0.29,9.71,10.14,6.57,6.71,12.43,0
14/10/2000,Arsenal,Aston Villa,1,0,H,0,0,D,Rob Harris,16,8,10,3,7,4,12,20,1,4,0,1,4,3,1,1.75,1.12,14.38,14.38,7.62,5.75,16.12,0,3,3,1,1.57,1.0,10.0,10.43,5.29,6.43,9.57,0
14/10/2000,Coventry,Tottenham,2,1,H,2,0,H,Peter Jones,0,4,5,5,3,5,12,16,0,4,1,0,2,2,4,1.0,1.75,8.62,8.62,5.62,6.12,14.25,0,3,2,3,1.38,1.38,13.12,11.75,5.25,4.75,13.38,0
14/10/2000,Everton,Southampton,1,1,D,0,0,D,David Ellaray,7,7,3,4,9,8,16,13,1,3,0,0,2,2,4,1.38,1.88,10.25,10.25,5.38,5.25,11.5,0,2,3,3,1.38,1.5,11.75,9.75,7.0,6.5,12.62,0
14/10/2000,Ipswich,West Ham,1,1,D,1,0,H,Neale Barry,11,7,8,2,8,5,10,11,0,4,0,0,3,2,3,1.38,1.25,12.75,12.75,3.75,5.12,10.88,0,1,4,3,1.25,1.38,14.25,10.75,7.62,4.88,12.38,0
14/10/2000,Leeds,Charlton,3,1,H,1,0,H,Mike Dean,22,10,10,8,8,5,7,9,0,1,0,0,3,2,2,1.57,1.29,13.0,13.0,6.43,4.57,15.86,0,3,3,2,1.75,1.62,9.38,11.75,6.88,6.25,11.88,0
14/10/2000,Leicester,Man United,0,3,A,0,1,A,Paul Durkin,10,16,4,5,6,7,8,11,0,0,0,0,4,4,0,0.88,0.25,9.5,9.5,6.0,6.62,11.88,0,4,3,1,2.5,1.0,14.88,9.5,6.38,3.75,12.0,0
14/10/2000,Man City,Bradford,2,0,H,2,0,H,Barry Knight,13,10,10,2,5,6,10,16,0,2,0,0,2,2,4,1.25,1.75,10.12,10.12,6.12,6.0,16.12,0,1,3,4,0.5,1.5,8.62,14.25,4.12,6.25,12.0,0
14/10/2000,Sunderland,Chelsea,1,0,H,0,0,D,Jeff Winter,16,11,11,2,5,0,12,18,0,1,1,1,2,3,3,0.88,1.38,10.25,10.25,4.0,7.12,14.38,0,2,4,2,1.62,1.5,13.0,10.88,7.0,5.38,16.62,0
15/10/2000,Derby,Liverpool,0,4,A,0,1,A,Steve Bennett,6,16,0,11,4,3,18,13,1,1,0,0,0,5,3,1.75,2.38,9.75,9.75,5.75,7.25,12.75,0,3,3,2,1.5,1.62,10.62,10.75,6.0,5.5,13.12,0
16/10/2000,Middlesbrough,Newcastle,1,3,A,0,1,A,Steve Dunn,8,15,2,8,6,6,8,13,2,1,0,0,2,4,2,1.75,1.5,10.0,10.0,4.88,7.38,13.5,0,4,1,3,1.0,0.88,11.62,11.0,5.88,6.0,15.5,0
21/10/2000,Bradford,Ipswich,0,2,A,0,1,A,Paul Taylor,7,12,3,3,9,1,15,14,1,0,0,0,1,3,5,0.44,1.56,8.78,8.78,4.33,6.11,12.44,0,3,3,3,1.33,1.22,12.56,10.67,4.22,5.11,10.78,0
21/10/2000,Charlton,Middlesbrough,1,0,H,0,0,D,Mike Riley,5,8,2,6,5,6,11,19,2,2,0,0,3,3,3,1.67,1.78,9.44,9.44,6.67,6.44,11.56,0,2,4,3,1.67,1.67,9.78,12.33,5.0,7.22,12.89,0
21/10/2000,Chelsea,Coventry,6,1,H,2,0,H,Steve Lodge,33,3,19,3,10,0,6,8,0,1,0,1,2,4,3,1.44,1.44,12.78,12.78,6.22,5.33,16.78,0,3,2,4,1.11,1.67,7.67,12.44,5.33,6.0,14.0,0
