year,team_name,total_market_value_millions,average_market_value_millions,number_of_players
2011,Everton,169.95,4.72,36
2011,Fulham,100.0,2.78,36
2011,Liverpool,236.9,7.64,31
2011,Leeds United,32.88,0.82,40
2011,Leicester City,42.1,1.08,39
2011,Luton Town,1.68,0.05,37
2011,Manchester City,498.6,13.85,36
2011,Manchester United,404.1,9.86,41
2011,Newcastle,161.7,4.37,37
2011,Norwich City,58.75,2.03,29
2011,Nottingham Forest,25.57,0.69,37
2011,Sheffield United,18.4,0.47,39
2011,Southampton,48.77,1.25,39
2011,Tottenham,323.5,6.47,50
2011,Watford,22.32,0.54,41
2011,West Bromwich,69.55,1.93,36
2011,West Ham,83.55,1.71,49
2011,Wolverhampton,78.05,2.11,37
2012,Arsenal,296.9,7.07,42
2012,Aston Villa,110.5,3.35,33
2012,Bournemouth,8.75,0.2,44
2012,Brentford,7.45,0.22,34
2012,Brighton,28.35,0.79,36
2012,Burnley,24.4,0.72,34
2012,Chelsea,454.25,13.36,34
2012,Crystal Palace,36.35,0.87,42
2012,Everton,139.75,4.82,29
2012,Fulham,109.85,2.97,37
2012,Liverpool,276.1,6.73,41
2012,Leeds United,32.62,0.84,39
2012,Leicester City,30.05,0.91,33
2012,Luton Town,1.85,0.05,39
2012,Manchester City,502.1,12.25,41
2012,Manchester United,457.5,11.16,41
2012,Newcastle,200.25,5.13,39
2012,Norwich City,73.25,2.03,36
2012,Nottingham Forest,37.05,1.0,37
2012,Sheffield United,14.62,0.38,39
2012,Southampton,83.05,2.08,40
2012,Tottenham,296.8,7.24,41
2012,Watford,30.43,0.69,44
2012,West Bromwich,93.5,2.92,32
2012,West Ham,103.0,2.64,39
2012,Wolverhampton,82.3,1.44,57
2013,Arsenal,385.75,9.41,41
2013,Aston Villa,109.5,3.04,36
2013,Bournemouth,19.35,0.51,38
2013,Brentford,8.78,0.2,44
2013,Brighton,30.85,0.86,36
2013,Burnley,25.52,0.88,29
2013,Chelsea,584.2,11.92,49
2013,Crystal Palace,68.7,1.53,45
2013,Everton,210.0,6.18,34
2013,Fulham,112.65,2.35,48
2013,Liverpool,315.75,8.77,36
2013,Leeds United,33.95,0.94,36
2013,Leicester City,36.55,1.11,33
2013,Luton Town,1.5,0.04,40
2013,Manchester City,455.8,16.88,27
2013,Manchester United,402.55,10.88,37
2013,Newcastle,172.3,4.66,37
2013,Norwich City,89.3,2.79,32
2013,Nottingham Forest,45.75,1.14,40
2013,Sheffield United,14.43,0.33,44
2013,Southampton,131.5,3.76,35
2013,Tottenham,288.95,7.05,41
2013,Watford,42.55,1.01,42
2013,West Bromwich,90.8,2.75,33
2013,West Ham,109.5,2.43,45
2013,Wolverhampton,26.98,0.67,40
2014,Arsenal,414.75,9.88,42
2014,Aston Villa,114.25,3.01,38
2014,Bournemouth,25.52,0.65,39
2014,Brentford,20.23,0.52,39
2014,Brighton,34.1,0.81,42
2014,Burnley,52.55,1.75,30
2014,Chelsea,557.25,14.66,38
2014,Crystal Palace,0.0,0.0,0
2014,Everton,0.0,0.0,0
2014,Fulham,0.0,0.0,0
2014,Liverpool,0.0,0.0,0
2014,Leeds United,0.0,0.0,0
2014,Leicester City,0.0,0.0,0
2014,Luton Town,0.0,0.0,0
2014,Manchester City,0.0,0.0,0
2014,Manchester United,0.0,0.0,0
2014,Newcastle,0.0,0.0,0
2014,Norwich City,0.0,0.0,0
2014,Nottingham Forest,0.0,0.0,0
2014,Sheffield United,0.0,0.0,0
2014,Southampton,0.0,0.0,0
2014,Tottenham,0.0,0.0,0
2014,Watford,0.0,0.0,0
2014,West Bromwich,0.0,0.0,0
2014,West Ham,135.9,3.78,36
2014,Wolverhampton,27.45,0.74,37
2015,Arsenal,457.85,11.17,41
2015,Aston Villa,117.95,2.68,44
2015,Bournemouth,99.9,2.04,49
2015,Brentford,39.0,1.03,38
2015,Brighton,40.85,1.1,37
2015,Burnley,56.5,1.61,35
2015,Chelsea,553.5,13.84,40
2015,Crystal Palace,135.7,3.57,38
2015,Everton,249.85,6.41,39
2015,Fulham,46.2,1.16,40
2015,Liverpool,375.25,8.53,44
2015,Leeds United,34.25,1.04,33
2015,Leicester City,161.1,4.6,35
2015,Luton Town,5.5,0.14,40
2015,Manchester City,499.35,13.14,38
2015,Manchester United,439.85,10.0,44
2015,Newcastle,198.0,4.71,42
2015,Norwich City,116.9,2.85,41
2015,Nottingham Forest,47.6,1.13,42
2015,Sheffield United,14.07,0.32,44
2015,Southampton,225.5,6.44,35
2015,Tottenham,371.85,12.0,31
2015,Watford,137.0,3.51,39
2015,West Bromwich,113.1,3.23,35
2015,West Ham,201.32,4.03,50
2015,Wolverhampton,39.23,0.91,43
2016,Arsenal,542.0,12.9,42
2016,Aston Villa,144.75,3.37,43
2016,Bournemouth,131.6,3.21,41
2016,Brentford,33.75,0.89,38
2016,Brighton,56.6,1.49,38
2016,Burnley,107.17,2.98,36
2016,Chelsea,686.7,14.01,49
2016,Crystal Palace,228.43,5.08,45
2016,Everton,311.25,7.98,39
2016,Fulham,65.85,1.78,37
2016,Liverpool,425.65,11.2,38
2016,Leeds United,50.45,1.36,37
2016,Leicester City,218.65,7.05,31
2016,Luton Town,4.53,0.11,40
2016,Manchester City,576.5,16.47,35
2016,Manchester United,531.45,12.65,42
2016,Newcastle,172.68,3.92,44
2016,Norwich City,89.7,2.24,40
2016,Nottingham Forest,63.4,1.41,45
2016,Sheffield United,16.1,0.37,43
2016,Southampton,263.75,7.33,36
2016,Tottenham,543.65,14.31,38
2016,Watford,175.65,3.82,46
2016,West Bromwich,123.2,4.11,30
2016,West Ham,273.05,6.21,44
2016,Wolverhampton,59.62,1.36,44
2017,Arsenal,694.0,15.42,45
2017,Aston Villa,96.9,2.2,44
2017,Bournemouth,144.5,4.13,35
2017,Brentford,47.95,1.37,35
2017,Brighton,148.2,3.8,39
2017,Burnley,169.3,5.64,30
2017,Chelsea,884.25,19.22,46
2017,Crystal Palace,220.72,5.38,41
2017,Everton,381.25,7.94,48
2017,Fulham,125.55,3.49,36
2017,Liverpool,857.5,24.5,35
2017,Leeds United,82.9,1.73,48
2017,Leicester City,304.25,8.95,34
2017,Luton Town,3.98,0.09,42
2017,Manchester City,1009.0,31.53,32
2017,Manchester United,849.5,24.27,35
2017,Newcastle,208.28,5.63,37
2017,Norwich City,68.72,1.81,38
2017,Nottingham Forest,58.5,1.46,40
2017,Sheffield United,23.75,0.64,37
2017,Southampton,297.0,10.24,29
2017,Tottenham,829.6,24.4,34
2017,Watford,196.0,5.3,37
2017,West Bromwich,165.95,5.03,33
2017,West Ham,260.6,6.36,41
2017,Wolverhampton,109.45,2.49,44
2018,Arsenal,659.05,15.69,42
2018,Aston Villa,164.45,3.82,43
2018,Bournemouth,310.0,8.38,37
2018,Brentford,76.35,1.96,39
2018,Brighton,194.35,4.74,41
2018,Burnley,197.25,5.98,33
2018,Chelsea,1166.65,21.6,54
2018,Crystal Palace,289.0,8.03,36
2018,Everton,529.1,13.23,40
2018,Fulham,254.25,7.7,33
2018,Liverpool,1172.4,30.06,39
2018,Leeds United,94.45,1.93,49
2018,Leicester City,434.1,11.73,37
2018,Luton Town,8.05,0.21,39
2018,Manchester City,1203.45,25.61,47
2018,Manchester United,797.6,22.16,36
2018,Newcastle,244.65,6.61,37
2018,Norwich City,86.3,2.33,37
2018,Nottingham Forest,83.1,1.85,45
2018,Sheffield United,61.75,1.58,39
2018,Southampton,305.4,7.63,40
2018,Tottenham,898.6,26.43,34
2018,Watford,239.1,6.13,39
2018,West Bromwich,145.65,3.94,37
2018,West Ham,359.0,9.7,37
2018,Wolverhampton,302.9,7.57,40
2019,Arsenal,607.65,15.99,38
2019,Aston Villa,231.7,6.1,38
2019,Bournemouth,272.18,6.98,39
2019,Brentford,70.38,1.95,36
2019,Brighton,200.78,4.46,45
2019,Burnley,163.88,4.68,35
2019,Chelsea,705.85,19.61,36
2019,Crystal Palace,189.32,5.74,33
2019,Everton,420.55,12.02,35
2019,Fulham,116.6,3.24,36
2019,Liverpool,1002.65,17.9,56
2019,Leeds United,100.75,2.88,35
2019,Leicester City,411.1,12.85,32
2019,Luton Town,20.25,0.58,35
2019,Manchester City,1048.67,29.96,35
2019,Manchester United,670.45,15.59,43
2019,Newcastle,252.47,6.16,41
2019,Norwich City,145.32,3.82,38
2019,Nottingham Forest,65.0,1.48,44
2019,Sheffield United,138.6,4.08,34
2019,Southampton,210.75,5.85,36
2019,Tottenham,806.8,22.41,36
2019,Watford,199.6,4.64,43
2019,West Bromwich,90.92,2.46,37
2019,West Ham,303.6,7.99,38
2019,Wolverhampton,320.32,7.28,44
2020,Arsenal,619.25,14.74,42
2020,Aston Villa,430.7,8.13,53
2020,Bournemouth,139.55,4.1,34
2020,Brentford,168.9,4.22,40
2020,Brighton,290.4,6.31,46
2020,Burnley,132.3,4.13,32
2020,Chelsea,889.2,22.8,39
2020,Crystal Palace,193.85,5.38,36
2020,Everton,511.2,11.62,44
2020,Fulham,239.75,6.31,38
2020,Liverpool,969.65,22.55,43
2020,Leeds United,238.1,6.11,39
2020,Leicester City,510.6,12.77,40
2020,Luton Town,24.95,0.64,39
