year,team_name,total_age_years,average_age_years,number_of_players
2022,Newcastle,656,27.33,24
2022,Norwich City,637,23.59,27
2022,Nottingham Forest,902,24.38,37
2022,Sheffield United,541,22.54,24
2022,Southampton,769,24.03,32
2022,Tottenham,604,25.17,24
2022,Watford,954,24.46,39
2022,West Bromwich,646,23.93,27
2022,West Ham,708,22.84,31
2022,Wolverhampton,679,24.25,28
2023,Arsenal,619,22.93,27
2023,Aston Villa,696,27.84,25
2023,Bournemouth,605,23.27,26
2023,Brentford,652,24.15,27
2023,Brighton,760,28.15,27
2023,Burnley,635,26.46,24
2023,Chelsea,929,22.66,41
2023,Crystal Palace,601,24.04,25
2023,Everton,502,23.9,21
2023,Fulham,557,24.22,23
2023,Liverpool,616,22.81,27
2023,Leeds United,599,24.96,24
2023,Leicester City,596,24.83,24
2023,Luton Town,720,23.23,31
2023,Manchester City,483,21.95,22
2023,Manchester United,754,25.13,30
2023,Newcastle,718,23.93,30
2023,Norwich City,744,24.8,30
2023,Nottingham Forest,850,26.56,32
2023,Sheffield United,670,23.1,29
2023,Southampton,679,23.41,29
2023,Tottenham,721,25.75,28
2023,Watford,543,24.68,22
2023,West Bromwich,737,23.03,32
2023,West Ham,552,24.0,23
2023,Wolverhampton,728,22.75,32
2024,Arsenal,664,22.9,29
2024,Aston Villa,701,23.37,30
2024,Bournemouth,649,24.04,27
2024,Brentford,592,23.68,25
2024,Brighton,898,23.63,38
2024,Burnley,1055,25.12,42
2024,Chelsea,1073,24.39,44
2024,Crystal Palace,663,25.5,26
2024,Everton,631,23.37,27
2024,Fulham,360,24.0,15
2024,Liverpool,374,20.78,18
2024,Leeds United,436,24.22,18
2024,Leicester City,645,24.81,26
2024,Luton Town,835,26.09,32
2024,Manchester City,661,23.61,28
2024,Manchester United,836,23.22,36
2024,Newcastle,538,24.45,22
2024,Norwich City,1067,24.81,43
2024,Nottingham Forest,543,24.68,22
2024,Sheffield United,754,24.32,31
2024,Southampton,733,25.28,29
2024,Tottenham,684,24.43,28
2024,Watford,705,25.18,28
2024,West Bromwich,764,22.47,34
2024,West Ham,435,25.59,17
2024,Wolverhampton,763,24.61,31
2025,Arsenal,239,26.56,9
2025,Aston Villa,287,26.09,11
2025,Bournemouth,318,26.5,12
2025,Brentford,444,27.75,16
2025,Brighton,385,25.67,15
2025,Burnley,460,27.06,17
2025,Chelsea,541,30.06,18
2025,Crystal Palace,376,26.86,14
2025,Everton,365,28.08,13
2025,Fulham,306,23.54,13
2025,Liverpool,289,28.9,10
2025,Leeds United,329,25.31,13
2025,Leicester City,369,24.6,15
2025,Luton Town,455,25.28,18
2025,Manchester City,299,27.18,11
2025,Manchester United,347,26.69,13
2025,Newcastle,452,28.25,16
2025,Norwich City,459,27.0,17
2025,Nottingham Forest,409,27.27,15
2025,Sheffield United,621,28.23,22
2025,Southampton,372,26.57,14
2025,Tottenham,482,28.35,17
2025,Watford,379,27.07,14
2025,West Bromwich,204,22.67,9
2025,West Ham,374,26.71,14
2025,Wolverhampton,310,28.18,11
